load pre-trained model "./pretrained_models/EVSNN.pth"
Will use fixed duration event windows of size 44.00 ms
Output frame rate: 22.7 Hz
Reading event window from file: 0.0050s
Processing: 0.Reading event window from file: 0.0139s
Processing: 5.Reading event window from file: 0.0072s
Processing: 10.Reading event window from file: 0.0051s
Processing: 15.Reading event window from file: 0.0044s
Processing: 20.Reading event window from file: 0.0104s
Processing: 25.Reading event window from file: 0.0060s
Processing: 30.Reading event window from file: 0.0288s
Processing: 35.Reading event window from file: 0.0047s
Processing: 40.Reading event window from file: 0.0120s
Processing: 45.Reading event window from file: 0.0082s
Processing: 50.Reading event window from file: 0.0205s
Processing: 55.Reading event window from file: 0.0165s
Processing: 60.Reading event window from file: 0.0253s
Processing: 65.Reading event window from file: 0.0668s
Processing: 70.Reading event window from file: 0.0329s
Processing: 75.Reading event window from file: 0.0684s
Processing: 80.Reading event window from file: 0.0661s
Processing: 85.Reading event window from file: 0.0462s
Processing: 90.Reading event window from file: 0.0425s
Processing: 95.Reading event window from file: 0.0432s
Processing: 100.Reading event window from file: 0.0681s
Processing: 105.Reading event window from file: 0.0536s
Processing: 110.Reading event window from file: 0.0410s
Processing: 115.Reading event window from file: 0.0719s
Processing: 120.Reading event window from file: 0.0359s
Processing: 125.Reading event window from file: 0.0327s
Processing: 130.Reading event window from file: 0.0503s
Processing: 135.Reading event window from file: 0.0594s
Processing: 140.Reading event window from file: 0.0456s
Processing: 145.Reading event window from file: 0.0584s
Processing: 150.Reading event window from file: 0.0781s
Processing: 155.Reading event window from file: 0.0465s
Processing: 160.Reading event window from file: 0.0526s
Processing: 165.Reading event window from file: 0.0696s
Processing: 170.Reading event window from file: 0.0493s
Processing: 175.Reading event window from file: 0.0514s
Processing: 180.Reading event window from file: 0.0932s
Processing: 185.Reading event window from file: 0.0426s
Processing: 190.Reading event window from file: 0.0422s
Processing: 195.Reading event window from file: 0.0403s
Processing: 200.Reading event window from file: 0.0619s
Processing: 205.Reading event window from file: 0.0432s
Processing: 210.Reading event window from file: 0.0416s
Processing: 215.Reading event window from file: 0.0738s
Processing: 220.Reading event window from file: 0.0483s
Processing: 225.Reading event window from file: 0.0477s
Processing: 230.Reading event window from file: 0.0869s
Processing: 235.Reading event window from file: 0.0555s
Processing: 240.Reading event window from file: 0.0826s
Processing: 245.Reading event window from file: 0.0521s
Processing: 250.Reading event window from file: 0.0549s
Processing: 255.Reading event window from file: 0.0853s
Processing: 260.Reading event window from file: 0.0579s
Processing: 265.Reading event window from file: 0.0926s
Processing: 270.Reading event window from file: 0.0526s
Processing: 275.Reading event window from file: 0.0472s
Processing: 280.Reading event window from file: 0.0215s
Processing: 285.Reading event window from file: 0.0217s
Processing: 290.Reading event window from file: 0.0293s
Processing: 295.Reading event window from file: 0.0183s
Processing: 300.Reading event window from file: 0.0304s
Processing: 305.Reading event window from file: 0.0404s
Processing: 310.Reading event window from file: 0.0536s
Processing: 315.Reading event window from file: 0.0800s
Processing: 320.Reading event window from file: 0.0611s
Processing: 325.Reading event window from file: 0.1005s
Processing: 330.Reading event window from file: 0.0720s
Processing: 335.Reading event window from file: 0.1070s
Processing: 340.Reading event window from file: 0.0751s
Processing: 345.Reading event window from file: 0.1168s
Processing: 350.Reading event window from file: 0.0716s
Processing: 355.Reading event window from file: 0.1067s
Processing: 360.Reading event window from file: 0.0736s
Processing: 365.Reading event window from file: 0.0954s
Processing: 370.Reading event window from file: 0.0607s
Processing: 375.Reading event window from file: 0.0765s
Processing: 380.Reading event window from file: 0.0777s
Processing: 385.Reading event window from file: 0.1601s
Processing: 390.Reading event window from file: 0.0849s
Processing: 395.Reading event window from file: 0.1082s
Processing: 400.Reading event window from file: 0.0584s
Processing: 405.Reading event window from file: 0.0468s
Processing: 410.Reading event window from file: 0.0616s
Processing: 415.Reading event window from file: 0.0380s
Processing: 420.Reading event window from file: 0.0417s
Processing: 425.Reading event window from file: 0.0362s
Processing: 430.Reading event window from file: 0.0598s
Processing: 435.Reading event window from file: 0.0476s
Processing: 440.Reading event window from file: 0.0527s
Processing: 445.Reading event window from file: 0.0566s
Processing: 450.Reading event window from file: 0.0523s
Processing: 455.Reading event window from file: 0.0334s
Processing: 460.Reading event window from file: 0.0727s
Processing: 465.Reading event window from file: 0.0544s
Processing: 470.Reading event window from file: 0.0370s
Processing: 475.Reading event window from file: 0.0780s
Processing: 480.Reading event window from file: 0.0549s
Processing: 485.Reading event window from file: 0.0504s
Processing: 490.Reading event window from file: 0.0760s
Processing: 495.Reading event window from file: 0.0554s
Processing: 500.Reading event window from file: 0.0852s
Processing: 505.Reading event window from file: 0.0830s
Processing: 510.Reading event window from file: 0.0855s
Processing: 515.Reading event window from file: 0.0518s
Processing: 520.Reading event window from file: 0.0486s
Processing: 525.Reading event window from file: 0.0771s
Processing: 530.Reading event window from file: 0.0385s
Processing: 535.Reading event window from file: 0.0546s
Processing: 540.Reading event window from file: 0.0900s
Processing: 545.Reading event window from file: 0.0612s
Processing: 550.Reading event window from file: 0.0972s
Processing: 555.Reading event window from file: 0.0770s
Processing: 560.Reading event window from file: 0.0946s
Processing: 565.Reading event window from file: 0.0434s
Processing: 570.Reading event window from file: 0.0240s
Processing: 575.Reading event window from file: 0.0979s
Processing: 580.Reading event window from file: 0.0473s
Processing: 585.Reading event window from file: 0.0467s
Processing: 590.Reading event window from file: 0.0734s
Processing: 595.Reading event window from file: 0.0952s
Processing: 600.Reading event window from file: 0.0428s
Processing: 605.Reading event window from file: 0.1122s
Processing: 610.Reading event window from file: 0.0392s
Processing: 615.Reading event window from file: 0.1242s
Processing: 620.Reading event window from file: 0.0661s
Processing: 625.Reading event window from file: 0.0683s
Processing: 630.Reading event window from file: 0.0772s
Processing: 635.Reading event window from file: 0.0781s
Processing: 640.Reading event window from file: 0.0981s
Processing: 645.Reading event window from file: 0.0719s
Processing: 650.Reading event window from file: 0.1261s
Processing: 655.Reading event window from file: 0.1148s
Processing: 660.Reading event window from file: 0.2101s
Processing: 665.Reading event window from file: 0.0396s
Processing: 670.Reading event window from file: 0.0648s
Processing: 675.Reading event window from file: 0.1053s
Processing: 680.Reading event window from file: 0.0625s
Processing: 685.Reading event window from file: 0.1337s
Processing: 690.Reading event window from file: 0.0885s
Processing: 695.Reading event window from file: 0.0315s
Processing: 700.Reading event window from file: 0.0527s
Processing: 705.Reading event window from file: 0.1060s
Processing: 710.Reading event window from file: 0.0821s
Processing: 715.Reading event window from file: 0.1182s
Processing: 720.Reading event window from file: 0.0922s
Processing: 725.Reading event window from file: 0.1154s
Processing: 730.Reading event window from file: 0.1099s
Processing: 735.Reading event window from file: 0.0481s
Processing: 740.Reading event window from file: 0.0399s
Processing: 745.Reading event window from file: 0.0386s
Processing: 750.Reading event window from file: 0.0506s
Processing: 755.Reading event window from file: 0.0199s
Processing: 760.Reading event window from file: 0.0660s
Processing: 765.Reading event window from file: 0.1070s
Processing: 770.Reading event window from file: 0.0896s
Processing: 775.Reading event window from file: 0.1285s
Processing: 780.Reading event window from file: 0.1251s
Processing: 785.Reading event window from file: 0.0592s
Processing: 790.Reading event window from file: 0.0400s
Processing: 795.Reading event window from file: 0.0662s
Processing: 800.Reading event window from file: 0.0448s
Processing: 805.Reading event window from file: 0.0581s
Processing: 810.Reading event window from file: 0.0889s
Processing: 815.Reading event window from file: 0.0609s
Processing: 820.Reading event window from file: 0.1188s
Processing: 825.Reading event window from file: 0.0970s
Processing: 830.Reading event window from file: 0.1162s
Processing: 835.Reading event window from file: 0.1145s
Processing: 840.Reading event window from file: 0.0779s
Processing: 845.Reading event window from file: 0.1137s
Processing: 850.Reading event window from file: 0.0592s
Processing: 855.Reading event window from file: 0.1108s
Processing: 860.Reading event window from file: 0.0972s
Processing: 865.Reading event window from file: 0.1076s
Processing: 870.Reading event window from file: 0.0853s
Processing: 875.Reading event window from file: 0.0901s
Processing: 880.Reading event window from file: 0.0689s
Processing: 885.Reading event window from file: 0.0865s
Processing: 890.Reading event window from file: 0.0941s
Processing: 895.Reading event window from file: 0.0774s
Processing: 900.Reading event window from file: 0.0837s
Processing: 905.Reading event window from file: 0.1274s
Processing: 910.Reading event window from file: 0.0964s
Processing: 915.Reading event window from file: 0.1467s
Processing: 920.Reading event window from file: 0.0749s
Processing: 925.Reading event window from file: 0.1003s
Processing: 930.Reading event window from file: 0.0640s
Processing: 935.Reading event window from file: 0.0849s
Processing: 940.Reading event window from file: 0.0688s
Processing: 945.Reading event window from file: 0.0390s
Processing: 950.Reading event window from file: 0.0375s
Processing: 955.Reading event window from file: 0.0935s
Processing: 960.Reading event window from file: 0.0696s
Processing: 965.Reading event window from file: 0.1320s
Processing: 970.Reading event window from file: 0.0836s
Processing: 975.Reading event window from file: 0.1073s
Processing: 980.Reading event window from file: 0.0595s
Processing: 985.Reading event window from file: 0.1230s
Processing: 990.Reading event window from file: 0.1222s
Processing: 995.Reading event window from file: 0.0974s
Processing: 1000.Reading event window from file: 0.0861s
Processing: 1005.Reading event window from file: 0.0447s
Processing: 1010.Reading event window from file: 0.0425s
Processing: 1015.Reading event window from file: 0.0522s
Processing: 1020.Reading event window from file: 0.0874s
Processing: 1025.Reading event window from file: 0.1621s
Processing: 1030.Reading event window from file: 0.1416s
Processing: 1035.Reading event window from file: 0.1384s
Processing: 1040.Reading event window from file: 0.1488s
Processing: 1045.Reading event window from file: 0.1186s
Processing: 1050.Reading event window from file: 0.1194s
Processing: 1055.Reading event window from file: 0.1231s
Processing: 1060.Reading event window from file: 0.0908s
Processing: 1065.Reading event window from file: 0.1456s
Processing: 1070.Reading event window from file: 0.1797s
Processing: 1075.Reading event window from file: 0.1690s
Processing: 1080.Reading event window from file: 0.1433s
Processing: 1085.Reading event window from file: 0.0872s
Processing: 1090.Reading event window from file: 0.0881s
Processing: 1095.Reading event window from file: 0.0393s
Processing: 1100.Reading event window from file: 0.0488s
Processing: 1105.Reading event window from file: 0.0656s
Processing: 1110.Reading event window from file: 0.1015s
Processing: 1115.Reading event window from file: 0.0737s
Processing: 1120.Reading event window from file: 0.0775s
Processing: 1125.Reading event window from file: 0.0375s
Processing: 1130.Reading event window from file: 0.0955s
Processing: 1135.Reading event window from file: 0.0290s
Processing: 1140.Reading event window from file: 0.0521s
Processing: 1145.Reading event window from file: 0.0794s
Processing: 1150.Reading event window from file: 0.0797s
Processing: 1155.Reading event window from file: 0.0670s
Processing: 1160.Reading event window from file: 0.0253s
Processing: 1165.Reading event window from file: 0.0183s
Processing: 1170.Reading event window from file: 0.0328s
Processing: 1175.Reading event window from file: 0.0286s
Processing: 1180.Reading event window from file: 0.1002s
Processing: 1185.Reading event window from file: 0.0255s
Processing: 1190.Reading event window from file: 0.0206s
Processing: 1195.Reading event window from file: 0.0518s
Processing: 1200.Reading event window from file: 0.0846s
Processing: 1205.Reading event window from file: 0.0797s
Processing: 1210.Reading event window from file: 0.0670s
Processing: 1215.Reading event window from file: 0.0662s
Processing: 1220.Reading event window from file: 0.0660s
Processing: 1225.Reading event window from file: 0.0771s
Processing: 1230.Reading event window from file: 0.0389s
Processing: 1235.Reading event window from file: 0.0428s
Processing: 1240.Reading event window from file: 0.1446s
Processing: 1245.Reading event window from file: 0.0523s
Processing: 1250.Reading event window from file: 0.0272s
Processing: 1255.Reading event window from file: 0.0268s
Processing: 1260.Reading event window from file: 0.0848s
Processing: 1265.Reading event window from file: 0.0637s
Processing: 1270.Reading event window from file: 0.0919s
Processing: 1275.Reading event window from file: 0.0630s
Processing: 1280.Reading event window from file: 0.1019s
Processing: 1285.Reading event window from file: 0.1151s
Processing: 1290.Reading event window from file: 0.1271s
Processing: 1295.Reading event window from file: 0.1347s
Processing: 1300.Reading event window from file: 0.1450s
Processing: 1305.Reading event window from file: 0.1300s
Processing: 1310.Reading event window from file: 0.2326s
Processing: 1315.Reading event window from file: 0.1544s
Processing: 1320.Reading event window from file: 0.1771s
Processing: 1325.Reading event window from file: 0.1264s
Processing: 1330.Reading event window from file: 0.1502s
Processing: 1335.Reading event window from file: 0.1481s
Processing: 1340.Reading event window from file: 0.1134s
Processing: 1345.Reading event window from file: 0.0839s
Processing: 1350.Reading event window from file: 0.1295s
Processing: 1355.Reading event window from file: 0.0480s
Processing: 1360.Reading event window from file: 0.0916s
Processing: 1365.Reading event window from file: 0.0625s
Processing: 1370.Reading event window from file: 0.0511s
Processing: 1375.Reading event window from file: 0.0741s
Processing: 1380.Reading event window from file: 0.0529s
Processing: 1385.Reading event window from file: 0.0669s
Processing: 1390.Reading event window from file: 0.0878s
Processing: 1395.Reading event window from file: 0.0871s
Processing: 1400.Reading event window from file: 0.2137s
Processing: 1405.Reading event window from file: 0.1410s
Processing: 1410.Reading event window from file: 0.1421s
Processing: 1415.Reading event window from file: 0.1714s
Processing: 1420.Reading event window from file: 0.1591s
Processing: 1425.Reading event window from file: 0.1272s
Processing: 1430.Reading event window from file: 0.1457s
Processing: 1435.Reading event window from file: 0.1134s
Processing: 1440.Reading event window from file: 0.0913s
Processing: 1445.Reading event window from file: 0.1257s
Processing: 1450.Reading event window from file: 0.1566s
Processing: 1455.Reading event window from file: 0.1509s
Processing: 1460.Reading event window from file: 0.0762s
Processing: 1465.Reading event window from file: 0.1151s
Processing: 1470.Reading event window from file: 0.0915s
Processing: 1475.Reading event window from file: 0.1138s
Processing: 1480.Reading event window from file: 0.1204s
Processing: 1485.Reading event window from file: 0.0960s
Processing: 1490.Reading event window from file: 0.1146s
Processing: 1495.Reading event window from file: 0.1710s
Processing: 1500.Reading event window from file: 0.1006s
Processing: 1505.Reading event window from file: 0.1066s
Processing: 1510.Reading event window from file: 0.0803s
Processing: 1515.Reading event window from file: 0.0972s
Processing: 1520.Reading event window from file: 0.0510s
Processing: 1525.Reading event window from file: 0.0837s
Processing: 1530.Reading event window from file: 0.0536s
Processing: 1535.Reading event window from file: 0.0973s
Processing: 1540.Reading event window from file: 0.0803s
Processing: 1545.Reading event window from file: 0.1382s
Processing: 1550.Reading event window from file: 0.0875s
Processing: 1555.Reading event window from file: 0.1210s
Processing: 1560.Reading event window from file: 0.2180s
Processing: 1565.Reading event window from file: 0.0934s
Processing: 1570.Reading event window from file: 0.1533s
Processing: 1575.Reading event window from file: 0.0803s
Processing: 1580.Reading event window from file: 0.1015s
Processing: 1585.Reading event window from file: 0.0578s
Processing: 1590.Reading event window from file: 0.0865s
Processing: 1595.Reading event window from file: 0.0396s
Processing: 1600.Reading event window from file: 0.0329s
Processing: 1605.Reading event window from file: 0.0719s
Processing: 1610.Reading event window from file: 0.0592s
Processing: 1615.Reading event window from file: 0.0901s
Processing: 1620.Reading event window from file: 0.0611s
Processing: 1625.Reading event window from file: 0.1039s
Processing: 1630.Reading event window from file: 0.0661s
Processing: 1635.Reading event window from file: 0.1189s
Processing: 1640.Reading event window from file: 0.1037s
Processing: 1645.Reading event window from file: 0.1240s
Processing: 1650.Reading event window from file: 0.1156s
Processing: 1655.Reading event window from file: 0.0949s
Processing: 1660.Reading event window from file: 0.1285s
Processing: 1665.Reading event window from file: 0.1331s
Processing: 1670.Reading event window from file: 0.1123s
Processing: 1675.Reading event window from file: 0.0709s
Processing: 1680.Reading event window from file: 0.0907s
Processing: 1685.Reading event window from file: 0.0791s
Processing: 1690.Reading event window from file: 0.0946s
Processing: 1695.Reading event window from file: 0.1485s
Processing: 1700.Reading event window from file: 0.1152s
Processing: 1705.Reading event window from file: 0.1449s
Processing: 1710.Reading event window from file: 0.1681s
Processing: 1715.Reading event window from file: 0.1320s
Processing: 1720.Reading event window from file: 0.1063s
Processing: 1725.Reading event window from file: 0.0964s
Processing: 1730.Reading event window from file: 0.1663s
Processing: 1735.Reading event window from file: 0.1639s
Processing: 1740.Reading event window from file: 0.2235s
Processing: 1745.Reading event window from file: 0.2376s
Processing: 1750.Reading event window from file: 0.1208s
Processing: 1755.Reading event window from file: 0.1393s
Processing: 1760.Reading event window from file: 0.1355s
Processing: 1765.Reading event window from file: 0.1516s
Processing: 1770.Reading event window from file: 0.2099s
Processing: 1775.Reading event window from file: 0.1321s
Processing: 1780.Reading event window from file: 0.1570s
Processing: 1785.Reading event window from file: 0.1427s
Processing: 1790.Reading event window from file: 0.0380s
Processing: 1795.Reading event window from file: 0.0433s
Processing: 1800.Reading event window from file: 0.0931s
Processing: 1805.Reading event window from file: 0.0461s
Processing: 1810.Reading event window from file: 0.0776s
Processing: 1815.Reading event window from file: 0.0697s
Processing: 1820.Reading event window from file: 0.1020s
Processing: 1825.Reading event window from file: 0.0647s
Processing: 1830.Reading event window from file: 0.1029s
Processing: 1835.Reading event window from file: 0.0956s
Processing: 1840.Reading event window from file: 0.0877s
Processing: 1845.Reading event window from file: 0.1376s
Processing: 1850.Reading event window from file: 0.1214s
Processing: 1855.Reading event window from file: 0.1563s
Processing: 1860.Reading event window from file: 0.1978s
Processing: 1865.Reading event window from file: 0.3344s
Processing: 1870.Reading event window from file: 0.2237s
Processing: 1875.Reading event window from file: 0.2475s
Processing: 1880.Reading event window from file: 0.2864s
Processing: 1885.Reading event window from file: 0.3302s
Processing: 1890.Reading event window from file: 0.2030s
Processing: 1895.Reading event window from file: 0.1536s
Processing: 1900.Reading event window from file: 0.1333s
Processing: 1905.Reading event window from file: 0.0792s
Processing: 1910.Reading event window from file: 0.0792s
Processing: 1915.Reading event window from file: 0.0538s
Processing: 1920.Reading event window from file: 0.1162s
Processing: 1925.Reading event window from file: 0.1472s
Processing: 1930.Reading event window from file: 0.1447s
Processing: 1935.Reading event window from file: 0.1894s
Processing: 1940.Reading event window from file: 0.1742s
Processing: 1945.Reading event window from file: 0.1806s
Processing: 1950.Reading event window from file: 0.1649s
Processing: 1955.Reading event window from file: 0.2206s
Processing: 1960.Reading event window from file: 0.1718s
Processing: 1965.Reading event window from file: 0.1693s
Processing: 1970.Reading event window from file: 0.1776s
Processing: 1975.Reading event window from file: 0.0888s
Processing: 1980.Reading event window from file: 0.1177s
Processing: 1985.Reading event window from file: 0.0831s
Processing: 1990.Reading event window from file: 0.0466s
Processing: 1995.Reading event window from file: 0.0412s
Processing: 2000.Reading event window from file: 0.0590s
Processing: 2005.Reading event window from file: 0.0432s
Processing: 2010.Reading event window from file: 0.0493s
Processing: 2015.Reading event window from file: 0.0858s
Processing: 2020.Reading event window from file: 0.0684s
Processing: 2025.Reading event window from file: 0.1015s
Processing: 2030.Reading event window from file: 0.1923s
Processing: 2035.Reading event window from file: 0.1518s
Processing: 2040.Reading event window from file: 0.1137s
Processing: 2045.Reading event window from file: 0.1485s
Processing: 2050.Reading event window from file: 0.1411s
Processing: 2055.Reading event window from file: 0.1399s
Processing: 2060.Reading event window from file: 0.1226s
